
8,The Mandalorian,Serie,2019,Jon Favreau,8.7
31,Matrix,Película,1999,Lana y Lilly Wachowski,8.7
1,El Padrino,Película,1972,Francis Ford Coppola,9.2
2,Stranger Things,Serie,2016,Los hermanos Duffer,8.7
3,Parásitos,Película,2019,Bong Joon-ho,8.6
4,Breaking Bad,Serie,2008,Vince Gilligan,9.5
6,The Crown,Serie,2016,Peter Morgan,8.6
7,Interstellar,Película,2014,Christopher Nolan,8.6
9,La La Land,Película,2016,Damien Chazelle,8.0
10,Chernobyl,Serie,2019,Johan Renck,9.4
11,El Señor de los Anillos: El Retorno del Rey,Película,2003,Peter Jackson,9.0
13,Titanic,Película,1997,James Cameron,7.9
14,Game of Thrones,Serie,2011,"David Benioff, D.B. Weiss",9.2
17,Pulp Fiction,Película,1994,Quentin Tarantino,8.9
18,The Witcher,Serie,2019,Lauren Schmidt Hissrich,8.2
19,Forrest Gump,Película,1994,Robert Zemeckis,8.8
21,El Caballero de la Noche,Película,2008,Christopher Nolan,9.0
22,Black Mirror,Serie,2011,Charlie Brooker,8.8
23,Gladiador,Película,2000,Ridley Scott,8.5
24,The Queen's Gambit,Serie,2020,Scott Frank,8.5
25,Django Desencadenado,Película,2012,Quentin Tarantino,8.5
26,Narcos,Serie,2015,"Chris Brancato, Carlo Bernard, Doug Miro",8.8
27,El Rey León,Película,1994,"Roger Allers, Rob Minkoff",8.5
29,El Silencio de los Inocentes,Película,1991,Jonathan Demme,8.6
30,Better Call Saul,Serie,2015,"Vince Gilligan, Peter Gould",9.0
32,The Last of Us,Serie,2023,"Craig Mazin, Neil Druckmann",8.8
34,House of the Dragon,Serie,2022,"Ryan Condal, George R. R. Martin",8.5
35,Avengers: Endgame,Película,2019,Anthony y Joe Russo,8.4
37,El Resplandor,Película,1980,Stanley Kubrick,8.4
38,Sherlock,Serie,2010,"Mark Gatiss, Steven Moffat",9.1
39,Blade Runner 2049,Película,2017,Denis Villeneuve,8.0
40,Peaky Blinders,Serie,2013,Steven Knight,8.8
41,Whiplash,Película,2014,Damien Chazelle,8.5
42,The Walking Dead,Serie,2010,Frank Darabont,8.2
